id_emprestimo,codigo_barras,data_renovacao,data_emprestimo,data_devolucao,matricula_ou_siape,tipo_vinculo_usuario
2962538,L036189,2020/02/03 15:51:20.187000000,2020/01/02 11:15:50.856000000,2020/03/06 12:02:19.000000000,1325965.0,DOCENTE
2962539,L193517,,2020/01/02 11:15:50.889000000,2020/01/14 08:22:40.000000000,1325965.0,DOCENTE
2962540,2009044893,2020/02/03 15:51:20.171000000,2020/01/02 11:15:50.920000000,2020/03/06 12:02:31.000000000,1325965.0,DOCENTE
2962541,2013093122,2020/02/03 15:51:20.152000000,2020/01/02 11:15:50.951000000,2020/03/06 12:01:56.000000000,1325965.0,DOCENTE
2962542,L015105,,2020/01/02 11:16:21.758000000,2020/01/17 14:49:44.000000000,2015077202.0,ALUNO DE GRADUAÇÃO
2962543,2007035468,,2020/01/02 11:16:21.793000000,2020/01/17 14:49:56.000000000,2015077202.0,ALUNO DE GRADUAÇÃO
2962544,2009061805,,2020/01/02 11:16:21.827000000,2020/01/17 14:49:40.000000000,2015077202.0,ALUNO DE GRADUAÇÃO
2962545,2012067687,2020/02/02 03:03:03.685000000,2020/01/02 11:31:30.946000000,2020/03/04 14:37:38.000000000,20181002611.0,ALUNO DE PÓS-GRADUAÇÃO
2962546,2014027302,2020/02/02 03:02:59.108000000,2020/01/02 11:31:31.021000000,2020/03/04 14:37:46.000000000,20181002611.0,ALUNO DE PÓS-GRADUAÇÃO
2962547,2009022144,,2020/01/02 11:50:56.493000000,2020/03/03 16:17:43.000000000,20181018246.0,ALUNO DE PÓS-GRADUAÇÃO
2962548,2011077361,,2020/01/02 11:50:56.532000000,2020/03/03 16:17:48.000000000,20181018246.0,ALUNO DE PÓS-GRADUAÇÃO
2962549,2014057337,,2020/01/02 11:50:56.567000000,2020/03/03 16:17:29.000000000,20181018246.0,ALUNO DE PÓS-GRADUAÇÃO
2962550,2017021896,,2020/01/02 11:50:56.602000000,2020/03/03 16:17:35.000000000,20181018246.0,ALUNO DE PÓS-GRADUAÇÃO
2962551,2017018392,,2020/01/02 12:03:21.172000000,2020/01/16 08:59:33.000000000,20190018209.0,ALUNO DE GRADUAÇÃO
2962552,2014072979,,2020/01/02 12:10:56.875000000,2020/02/03 13:38:56.000000000,20181021223.0,ALUNO DE PÓS-GRADUAÇÃO
2962553,L172901,2020/01/17 13:13:41.209000000,2020/01/02 12:14:13.249000000,2020/02/03 08:21:23.000000000,20180123185.0,ALUNO DE GRADUAÇÃO
2962554,2008044056,2020/01/17 13:13:41.183000000,2020/01/02 12:14:13.282000000,2020/02/03 08:21:34.000000000,20180123185.0,ALUNO DE GRADUAÇÃO
2962555,2009051814,2020/01/17 13:13:41.158000000,2020/01/02 12:14:13.312000000,2020/02/03 08:21:14.000000000,20180123185.0,ALUNO DE GRADUAÇÃO
2962556,2007040740,2020/01/30 15:16:50.526000000,2020/01/02 12:47:29.991000000,2020/02/27 15:51:52.000000000,20191006122.0,ALUNO DE PÓS-GRADUAÇÃO
2962557,2014041966,2020/02/01 10:57:49.622000000,2020/01/02 12:50:36.236000000,2020/03/02 17:02:35.000000000,3153121.0,DOCENTE
2962558,2010072186,2020/02/03 05:10:27.776000000,2020/01/02 12:52:50.315000000,2020/03/03 12:48:27.000000000,3141362.0,DOCENTE
2962559,2011012823,2020/02/03 05:10:27.748000000,2020/01/02 12:52:50.347000000,2020/03/03 12:48:41.000000000,3141362.0,DOCENTE
2962560,2012008993,2020/02/03 05:10:27.721000000,2020/01/02 12:52:50.377000000,2020/03/03 12:48:51.000000000,3141362.0,DOCENTE
2962561,2001015753,2020/02/03 05:10:27.693000000,2020/01/02 12:52:50.409000000,2020/03/03 12:48:06.000000000,3141362.0,DOCENTE
2962562,2016040834,2020/02/03 05:10:27.662000000,2020/01/02 12:52:50.441000000,2020/03/03 12:48:17.000000000,3141362.0,DOCENTE
2962563,S023495,2020/02/01 06:46:09.983000000,2020/01/02 13:06:09.921000000,2020/03/02 11:03:35.000000000,20181018738.0,ALUNO DE PÓS-GRADUAÇÃO
2962564,2009041877,2020/02/01 06:46:09.960000000,2020/01/02 13:06:09.970000000,2020/03/02 11:03:17.000000000,20181018738.0,ALUNO DE PÓS-GRADUAÇÃO
2962565,2010090224,2020/02/01 06:46:09.936000000,2020/01/02 13:06:10.017000000,2020/03/02 11:03:23.000000000,20181018738.0,ALUNO DE PÓS-GRADUAÇÃO
2962566,2013087976,2020/02/01 06:46:09.909000000,2020/01/02 13:06:10.065000000,2020/03/02 11:03:50.000000000,20181018738.0,ALUNO DE PÓS-GRADUAÇÃO
2962567,2011078217,2020/01/16 09:18:39.525000000,2020/01/02 13:50:50.927000000,2020/01/29 16:37:48.000000000,20180008844.0,ALUNO DE GRADUAÇÃO
2962568,L150067,2020/02/03 09:31:18.863000000,2020/01/02 13:51:40.272000000,2020/03/06 11:23:05.000000000,2524058.0,DOCENTE
2962569,2010061150,2020/02/03 09:31:18.840000000,2020/01/02 13:51:40.308000000,2020/03/06 11:22:54.000000000,2524058.0,DOCENTE
2962570,2016009329,2020/02/03 09:31:18.818000000,2020/01/02 13:51:40.341000000,2020/03/06 11:22:35.000000000,2524058.0,DOCENTE
2962571,2016009319,2020/02/03 09:31:18.796000000,2020/01/02 13:51:40.375000000,2020/03/06 11:22:42.000000000,2524058.0,DOCENTE
2962572,2018001844,2020/02/03 09:31:18.771000000,2020/01/02 13:51:40.411000000,2020/03/06 11:22:48.000000000,2524058.0,DOCENTE
2962573,2010029928,2020/02/02 15:45:01.771000000,2020/01/02 14:05:27.252000000,2020/02/27 14:13:25.000000000,20182045936.0,ALUNO DE PÓS-GRADUAÇÃO
2962574,2012042429,2020/02/02 15:45:01.749000000,2020/01/02 14:05:27.286000000,2020/02/27 14:13:56.000000000,20182045936.0,ALUNO DE PÓS-GRADUAÇÃO
2962575,2017017529,2020/02/02 15:45:01.722000000,2020/01/02 14:05:27.318000000,2020/02/27 14:13:37.000000000,20182045936.0,ALUNO DE PÓS-GRADUAÇÃO
2962576,2010043347,,2020/01/02 14:27:01.587000000,2020/01/21 17:58:59.000000000,20181024753.0,ALUNO DE PÓS-GRADUAÇÃO
2962577,2012030911,,2020/01/02 14:27:01.624000000,2020/01/21 17:58:35.000000000,20181024753.0,ALUNO DE PÓS-GRADUAÇÃO
2962578,2017035519,2020/02/03 14:49:35.979000000,2020/01/02 14:27:01.657000000,2020/02/12 10:42:33.000000000,20181024753.0,ALUNO DE PÓS-GRADUAÇÃO
2962579,2018021912,,2020/01/02 14:31:31.064000000,2020/01/16 13:03:00.000000000,20180077019.0,ALUNO DE GRADUAÇÃO
2962580,2014085920,,2020/01/02 14:31:45.547000000,2020/01/23 14:08:34.000000000,2015056703.0,ALUNO DE GRADUAÇÃO
2962581,2014085917,,2020/01/02 14:31:45.595000000,2020/01/23 14:08:25.000000000,2015056703.0,ALUNO DE GRADUAÇÃO
2962582,2014007927,,2020/01/02 15:04:28.121000000,2020/01/23 11:32:56.000000000,20180147991.0,ALUNO DE GRADUAÇÃO
2962583,2014075214,,2020/01/02 15:04:28.169000000,2020/01/23 11:32:29.000000000,20180147991.0,ALUNO DE GRADUAÇÃO
2962584,2018008040,,2020/01/02 15:04:28.216000000,2020/01/23 11:32:44.000000000,20180147991.0,ALUNO DE GRADUAÇÃO
2962585,2009046857,2020/01/17 23:02:36.497000000,2020/01/02 15:13:22.294000000,2020/02/03 14:37:06.000000000,2016024034.0,ALUNO DE GRADUAÇÃO
2962586,L202941,2020/01/17 23:02:36.469000000,2020/01/02 15:13:22.327000000,2020/02/03 14:36:55.000000000,2016024034.0,ALUNO DE GRADUAÇÃO
2962587,2018012492,2020/01/17 16:31:29.617000000,2020/01/02 15:20:34.506000000,2020/02/05 15:54:26.000000000,20190093301.0,ALUNO DE GRADUAÇÃO
2962588,2013080607,2020/01/17 14:19:42.423000000,2020/01/02 15:23:26.155000000,2020/02/03 15:19:28.000000000,20190013481.0,ALUNO DE GRADUAÇÃO
2962589,2015033126,2020/01/17 14:19:42.403000000,2020/01/02 15:23:26.190000000,2020/02/03 15:19:34.000000000,20190013481.0,ALUNO DE GRADUAÇÃO
2962590,2018022384,,2020/01/02 15:32:43.319000000,2020/01/22 16:13:03.000000000,2013082811.0,ALUNO DE GRADUAÇÃO
2962591,Y001115,2020/01/17 14:01:17.284000000,2020/01/02 15:37:00.197000000,2020/01/31 10:33:41.000000000,20180131660.0,ALUNO DE GRADUAÇÃO
2962592,Y008873,,2020/01/02 15:37:00.244000000,2020/01/02 16:01:32.000000000,20180131660.0,ALUNO DE GRADUAÇÃO
2962593,2013073723,2020/01/17 14:01:17.263000000,2020/01/02 15:37:00.289000000,2020/01/31 10:33:54.000000000,20180131660.0,ALUNO DE GRADUAÇÃO
2962594,2018023902,2020/01/17 14:01:17.245000000,2020/01/02 15:37:00.335000000,2020/01/31 10:33:48.000000000,20180131660.0,ALUNO DE GRADUAÇÃO
2962595,2013071631,,2020/01/02 15:43:02.026000000,2020/01/08 12:02:25.000000000,1680333.0,DOCENTE
2962596,2013085126,2020/02/02 06:26:45.359000000,2020/01/02 15:43:02.060000000,2020/03/02 14:32:19.000000000,1680333.0,DOCENTE
2962597,2016019026,2020/02/02 06:26:45.330000000,2020/01/02 15:43:02.093000000,2020/03/02 14:32:12.000000000,1680333.0,DOCENTE
2962598,2011067538,,2020/01/02 15:53:25.430000000,2020/01/21 11:25:19.000000000,2016027878.0,ALUNO DE GRADUAÇÃO
2962599,2011067569,,2020/01/02 15:53:25.464000000,2020/01/21 11:24:58.000000000,2016027878.0,ALUNO DE GRADUAÇÃO
2962600,2012038181,,2020/01/02 15:53:25.500000000,2020/01/21 11:25:04.000000000,2016027878.0,ALUNO DE GRADUAÇÃO
2962601,2012058185,2020/01/16 17:57:55.512000000,2020/01/02 15:58:22.958000000,2020/02/03 08:23:27.000000000,3138755.0,SERVIDOR TÉCNICO-ADMINISTRATIVO
2962602,2018022297,2020/01/16 17:57:55.484000000,2020/01/02 15:58:22.989000000,2020/02/03 08:23:20.000000000,3138755.0,SERVIDOR TÉCNICO-ADMINISTRATIVO
2962603,2012019724,,2020/01/02 16:00:33.564000000,2020/02/17 07:45:32.000000000,20170015470.0,ALUNO DE GRADUAÇÃO
2962604,2016009876,,2020/01/02 16:00:33.610000000,2020/02/17 07:45:46.000000000,20170015470.0,ALUNO DE GRADUAÇÃO
2962605,2018007004,,2020/01/02 16:00:33.653000000,2020/02/17 07:45:55.000000000,20170015470.0,ALUNO DE GRADUAÇÃO
2962606,2013110141,2020/01/17 15:41:19.933000000,2020/01/02 16:06:31.582000000,2020/02/17 07:20:19.000000000,20190090640.0,ALUNO DE GRADUAÇÃO
2962607,2013110072,2020/01/17 15:41:19.909000000,2020/01/02 16:06:31.630000000,2020/02/17 07:20:03.000000000,20190090640.0,ALUNO DE GRADUAÇÃO
2962608,2013110315,2020/01/17 15:41:19.891000000,2020/01/02 16:06:31.676000000,2020/02/17 07:20:12.000000000,20190090640.0,ALUNO DE GRADUAÇÃO
2962609,2014061121,2020/01/17 00:18:21.350000000,2020/01/02 16:07:48.889000000,2020/01/24 15:29:56.000000000,20170164836.0,ALUNO DE GRADUAÇÃO
2962610,2016034680,2020/01/17 00:18:21.326000000,2020/01/02 16:07:48.924000000,2020/01/24 15:30:14.000000000,20170164836.0,ALUNO DE GRADUAÇÃO
2962611,2018001865,2020/01/17 00:18:21.298000000,2020/01/02 16:07:48.956000000,2020/01/24 15:30:07.000000000,20170164836.0,ALUNO DE GRADUAÇÃO
2962612,Y009388,,2020/01/02 16:11:02.519000000,2020/01/21 12:26:02.000000000,20181026598.0,ALUNO DE PÓS-GRADUAÇÃO
2962613,2015014335,,2020/01/02 16:11:02.566000000,2020/01/21 12:26:10.000000000,20181026598.0,ALUNO DE PÓS-GRADUAÇÃO
2962614,2015003808,,2020/01/02 16:11:02.610000000,2020/01/21 12:26:16.000000000,20181026598.0,ALUNO DE PÓS-GRADUAÇÃO
2962615,2014076809,,2020/01/02 16:11:14.403000000,2020/01/27 15:12:41.000000000,20190012742.0,ALUNO DE GRADUAÇÃO
2962616,L178515,,2020/01/02 16:12:59.857000000,2020/02/21 16:50:43.000000000,3001878.0,SERVIDOR TÉCNICO-ADMINISTRATIVO
2962617,L202904,,2020/01/02 16:12:59.888000000,2020/02/07 17:18:33.000000000,3001878.0,SERVIDOR TÉCNICO-ADMINISTRATIVO
2962618,2015020531,,2020/01/02 16:12:59.917000000,2020/02/07 17:18:23.000000000,3001878.0,SERVIDOR TÉCNICO-ADMINISTRATIVO
2962619,L196091,,2020/01/02 16:20:44.124000000,2020/02/04 17:02:11.000000000,20180053115.0,ALUNO DE GRADUAÇÃO
2962620,2010002076,,2020/01/02 16:20:44.160000000,2020/02/04 17:02:38.000000000,20180053115.0,ALUNO DE GRADUAÇÃO
2962621,2010079166,,2020/01/02 16:20:44.193000000,2020/02/04 17:01:47.000000000,20180053115.0,ALUNO DE GRADUAÇÃO
2962622,L116316,2020/01/15 10:25:35.663000000,2020/01/02 16:26:48.982000000,2020/02/03 08:06:30.000000000,20190063652.0,ALUNO DE GRADUAÇÃO
2962623,2010027160,2020/01/15 10:25:35.640000000,2020/01/02 16:26:49.023000000,2020/02/03 08:06:36.000000000,20190063652.0,ALUNO DE GRADUAÇÃO
2962624,2012019279,2020/01/17 10:46:58.990000000,2020/01/02 16:37:54.610000000,2020/02/03 18:00:01.000000000,20180090754.0,ALUNO DE GRADUAÇÃO
2962625,2013010017,2020/01/17 10:46:58.963000000,2020/01/02 16:37:54.645000000,2020/02/27 18:20:56.000000000,20180090754.0,ALUNO DE GRADUAÇÃO
2962626,2010056822,2020/02/03 13:50:31.551000000,2020/01/02 16:49:17.877000000,2020/03/11 19:33:23.000000000,3508635.0,DOCENTE
2962627,2014035124,2020/02/03 13:50:31.522000000,2020/01/02 16:49:17.917000000,2020/03/11 19:33:12.000000000,3508635.0,DOCENTE
2962628,L158169,2020/01/16 10:06:09.575000000,2020/01/02 16:51:49.971000000,2020/01/28 17:46:45.000000000,20180138722.0,ALUNO DE GRADUAÇÃO
2962629,L178010,2020/01/16 10:06:09.552000000,2020/01/02 16:51:50.012000000,2020/01/28 17:46:39.000000000,20180138722.0,ALUNO DE GRADUAÇÃO
2962630,2019014622,2020/01/16 10:06:09.523000000,2020/01/02 16:51:50.049000000,2020/01/28 17:46:32.000000000,20180138722.0,ALUNO DE GRADUAÇÃO
2962631,2012036785,,2020/01/02 16:53:09.186000000,2020/02/03 10:51:32.000000000,1102321.0,DOCENTE
2962632,2018028604,,2020/01/02 16:53:09.219000000,2020/02/03 10:51:38.000000000,1102321.0,DOCENTE
2962633,2011076691,,2020/01/02 16:57:21.514000000,2020/02/13 16:43:41.000000000,20181024833.0,ALUNO DE PÓS-GRADUAÇÃO
2962634,2017011601,,2020/01/02 16:57:21.548000000,2020/02/13 16:44:14.000000000,20181024833.0,ALUNO DE PÓS-GRADUAÇÃO
2962635,2016042303,,2020/01/02 17:03:13.684000000,2020/01/20 11:26:23.000000000,20150129508.0,ALUNO DE GRADUAÇÃO
2962636,2009056131,,2020/01/02 17:04:53.243000000,2020/01/07 13:24:47.000000000,20150129508.0,ALUNO DE GRADUAÇÃO
2962637,2017023829,,2020/01/02 17:04:53.290000000,2020/01/20 11:26:02.000000000,20150129508.0,ALUNO DE GRADUAÇÃO
2962638,2013104876,2020/02/01 09:36:51.474000000,2020/01/02 17:14:31.533000000,2020/03/13 11:52:44.000000000,20171031351.0,ALUNO DE PÓS-GRADUAÇÃO
2962639,2016012766,2020/02/01 09:36:51.454000000,2020/01/02 17:14:31.570000000,2020/03/13 11:52:41.000000000,20171031351.0,ALUNO DE PÓS-GRADUAÇÃO
2962640,2017022438,2020/02/01 09:36:51.429000000,2020/01/02 17:14:31.605000000,2020/03/13 11:52:37.000000000,20171031351.0,ALUNO DE PÓS-GRADUAÇÃO
2962641,2016010488,2020/01/15 07:22:35.909000000,2020/01/02 17:21:09.616000000,2020/02/03 14:05:29.000000000,20190048398.0,ALUNO DE GRADUAÇÃO
2962642,2014074055,2020/01/17 13:34:38.659000000,2020/01/02 17:43:14.754000000,2020/02/03 18:45:41.000000000,20180140874.0,ALUNO DE GRADUAÇÃO
2962643,2014019603,2020/01/17 13:34:38.633000000,2020/01/02 17:43:14.790000000,2020/02/03 18:45:36.000000000,20180140874.0,ALUNO DE GRADUAÇÃO
2962644,2013065852,,2020/01/02 17:44:34.557000000,2020/01/10 19:08:33.000000000,20180094379.0,ALUNO DE GRADUAÇÃO
2962645,2012051939,,2020/01/02 17:51:52.860000000,2020/01/21 07:56:58.000000000,2014094254.0,ALUNO DE GRADUAÇÃO
2962646,2014070373,,2020/01/02 17:51:52.899000000,2020/01/21 07:57:06.000000000,2014094254.0,ALUNO DE GRADUAÇÃO
2962647,L186404,,2020/01/02 17:54:18.054000000,2020/01/09 15:36:49.000000000,1142209.0,DOCENTE
2962648,2006028946,2020/02/03 15:52:47.822000000,2020/01/02 17:54:18.089000000,2020/02/06 18:10:25.000000000,1142209.0,DOCENTE
2962649,2012009176,2020/02/03 15:52:47.800000000,2020/01/02 17:54:18.123000000,2020/03/04 20:00:38.000000000,1142209.0,DOCENTE
2962650,L167640,2020/01/17 06:19:07.180000000,2020/01/02 17:58:08.380000000,2020/02/20 08:11:58.000000000,20170084350.0,ALUNO DE GRADUAÇÃO
2962651,2009025948,2020/01/17 06:19:07.154000000,2020/01/02 17:58:08.414000000,2020/02/20 08:12:13.000000000,20170084350.0,ALUNO DE GRADUAÇÃO
2962652,2015025381,2020/01/17 06:19:07.127000000,2020/01/02 17:58:08.448000000,2020/02/20 08:12:09.000000000,20170084350.0,ALUNO DE GRADUAÇÃO
2962653,2017028572,2020/01/17 13:12:13.601000000,2020/01/02 18:08:27.852000000,2020/02/04 12:26:04.000000000,20190013721.0,ALUNO DE GRADUAÇÃO
2962654,L170236,2020/01/16 09:42:19.714000000,2020/01/02 18:36:00.213000000,2020/02/06 11:16:19.000000000,2010049586.0,ALUNO DE GRADUAÇÃO
2962655,2011034240,,2020/01/02 18:36:00.248000000,2020/01/15 15:43:07.000000000,2010049586.0,ALUNO DE GRADUAÇÃO
2962656,L203012,2020/01/16 09:42:19.689000000,2020/01/02 18:36:00.280000000,2020/02/06 11:16:24.000000000,2010049586.0,ALUNO DE GRADUAÇÃO
2962657,2014002338,,2020/01/02 18:51:48.614000000,2020/01/13 17:53:07.000000000,2013081387.0,ALUNO DE GRADUAÇÃO
2962658,2013094184,2020/02/03 00:08:05.729000000,2020/01/02 18:52:23.253000000,2020/06/10 10:43:32.000000000,20191022242.0,ALUNO DE PÓS-GRADUAÇÃO
2962659,2015043719,2020/01/15 17:19:44.268000000,2020/01/02 18:54:06.090000000,2020/01/29 13:40:53.000000000,2016015474.0,ALUNO DE GRADUAÇÃO
2962660,2015035642,2020/01/15 17:19:44.245000000,2020/01/02 18:54:06.122000000,2020/01/29 18:41:18.000000000,2016015474.0,ALUNO DE GRADUAÇÃO
2962661,2006041337,,2020/01/02 18:55:20.103000000,2020/01/20 18:03:03.000000000,20182018017.0,ALUNO DE PÓS-GRADUAÇÃO
2962662,2014035576,2020/01/14 17:30:36.922000000,2020/01/02 18:56:56.098000000,2020/01/29 18:40:42.000000000,20150128028.0,ALUNO DE GRADUAÇÃO
2962663,2017028225,2020/01/14 17:30:36.896000000,2020/01/02 18:56:56.131000000,2020/01/29 13:41:19.000000000,20150128028.0,ALUNO DE GRADUAÇÃO
2962664,2017019942,,2020/01/03 07:43:52.240000000,2020/01/20 17:34:46.000000000,20170007834.0,ALUNO DE GRADUAÇÃO
2962665,2014000953,2020/01/20 09:32:58.271000000,2020/01/03 08:30:56.290000000,2020/02/04 11:30:16.000000000,20170112929.0,ALUNO DE GRADUAÇÃO
2962666,2017030881,2020/01/20 09:32:58.250000000,2020/01/03 08:30:56.342000000,2020/02/04 11:30:26.000000000,20170112929.0,ALUNO DE GRADUAÇÃO
2962667,2013088615,,2020/01/03 08:35:59.524000000,2020/06/05 11:08:16.000000000,2016081264.0,ALUNO DE GRADUAÇÃO
2962668,2014007502,2020/01/20 07:37:54.535000000,2020/01/03 08:43:12.746000000,2020/02/10 17:51:06.000000000,20170153805.0,ALUNO DE GRADUAÇÃO
2962669,2014007512,2020/01/20 07:37:54.512000000,2020/01/03 08:43:12.786000000,2020/02/10 17:50:53.000000000,20170153805.0,ALUNO DE GRADUAÇÃO
2962670,2016008215,2020/01/20 07:37:54.482000000,2020/01/03 08:44:02.118000000,2020/02/10 17:51:00.000000000,20170153805.0,ALUNO DE GRADUAÇÃO
2962671,000728,,2020/01/03 08:50:57.846000000,2020/01/09 09:19:15.000000000,1999246.0,DOCENTE
2962672,2016035322,,2020/01/03 09:49:55.437000000,2020/02/03 09:17:25.000000000,20191001850.0,ALUNO DE PÓS-GRADUAÇÃO
2962673,L008610,2020/02/03 09:47:46.507000000,2020/01/03 09:57:10.936000000,2020/03/05 16:34:52.000000000,3357809.0,DOCENTE
2962674,L163107,2020/02/03 09:47:46.487000000,2020/01/03 09:57:10.970000000,2020/03/05 16:36:11.000000000,3357809.0,DOCENTE
2962675,2010094610,2020/02/03 09:47:46.467000000,2020/01/03 09:57:11.000000000,2020/03/05 16:34:59.000000000,3357809.0,DOCENTE
2962676,2014058970,2020/02/03 09:47:46.443000000,2020/01/03 09:57:11.035000000,2020/03/05 16:35:25.000000000,3357809.0,DOCENTE
2962677,2016025795,2020/02/03 09:47:46.419000000,2020/01/03 09:57:11.068000000,2020/03/05 16:35:37.000000000,3357809.0,DOCENTE
2962678,2012067847,2020/02/03 10:55:42.958000000,2020/01/03 10:01:15.569000000,2020/02/10 13:52:16.000000000,3143010.0,DOCENTE
2962679,2010052519,2020/02/03 10:55:42.937000000,2020/01/03 10:01:15.604000000,2020/02/10 13:52:25.000000000,3143010.0,DOCENTE
2962680,2013004602,2020/02/03 10:55:42.914000000,2020/01/03 10:01:15.638000000,2020/02/10 13:52:19.000000000,3143010.0,DOCENTE
2962681,2012027585,2020/02/03 10:55:42.890000000,2020/01/03 10:01:15.676000000,2020/02/10 13:52:13.000000000,3143010.0,DOCENTE
2962682,2015036373,2020/02/03 10:55:42.868000000,2020/01/03 10:01:15.710000000,2020/02/10 13:52:30.000000000,3143010.0,DOCENTE
2962683,2014059508,2020/01/29 06:19:19.368000000,2020/01/03 10:19:54.702000000,2020/02/07 15:58:06.000000000,20180040879.0,ALUNO DE GRADUAÇÃO
2962684,2014081574,2020/01/29 06:21:54.789000000,2020/01/03 10:20:42.481000000,2020/02/07 15:58:00.000000000,20180041491.0,ALUNO DE GRADUAÇÃO
2962685,2006018138,2020/01/18 16:03:07.036000000,2020/01/03 10:39:46.276000000,2020/02/03 08:07:51.000000000,20180121260.0,ALUNO DE GRADUAÇÃO
2962686,2014078513,2020/01/18 16:03:06.999000000,2020/01/03 10:39:46.309000000,2020/02/03 08:07:39.000000000,20180121260.0,ALUNO DE GRADUAÇÃO
